Station Number,Station Name,Station Name,Station Name,Station Name of Snow,Station Name of Snow,Station Name of Snow,Latitude_Precipitation,Longitude_Precipitation,Altitude_Precipitation,Height of Anemometer,,,Latitude_Snow,Longitude_Snow,Altitude_Snow,Start Date,End Date
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,010.1,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,024.1,     ,      ,45.415,141.678,0003,2021-03-18,9999-99-99
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,009.9,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,009.9,     ,      ,45.335,142.170,0013,2021-03-18,9999-99-99
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,009.9,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.780,0014,010.0,     ,      ,45.102,141.780,0014,2021-03-18,9999-99-99
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.125,142.350,0018,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,44.940,142.585,0007,017.2,     ,      ,44.940,142.585,0007,2021-03-18,9999-99-99
12011,中川　　　　　　　　,ﾅｶｶﾞﾜ          ,NAKAGAWA                      ,　　　　　　　　　　,               ,                              ,44.828,142.077,0022,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
12041,音威子府　　　　　　,ｵﾄｲﾈｯﾌﾟ        ,OTOINEPPU                     ,音威子府　　　　　　,ｵﾄｲﾈｯﾌﾟ        ,OTOINEPPU                     ,44.727,142.265,0040,009.9,     ,      ,44.727,142.265,0040,2021-03-18,9999-99-99
12181,名寄　　　　　　　　,ﾅﾖﾛ            ,NAYORO                        ,名寄　　　　　　　　,ﾅﾖﾛ            ,NAYORO                        ,44.370,142.457,0089,009.9,     ,      ,44.370,142.457,0089,2021-03-18,9999-99-99
12396,比布　　　　　　　　,ﾋﾟｯﾌﾟ          ,PIPPU                         ,　　　　　　　　　　,               ,                              ,43.870,142.470,0164,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
