Station Number,Station Name,Station Name,Station Name,Station Name of Snow,Station Name of Snow,Station Name of Snow,Latitude_Precipitation,Longitude_Precipitation,Altitude_Precipitation,Height of Anemometer,,,Latitude_Snow,Longitude_Snow,Altitude_Snow,Start Date,End Date
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,010.1,     ,      ,      ,       ,    ,1987-05-14,9999-99-99
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,024.1,     ,      ,45.415,141.678,0003,1974-11-01,9999-99-99
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,009.9,     ,      ,      ,       ,    ,2003-10-17,9999-99-99
11061,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,45.403,141.802,0008,010.0,     ,      ,45.403,141.802,0008,2003-01-01,9999-99-99
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,009.9,     ,      ,45.335,142.170,0013,1978-10-30,9999-99-99
11091,本泊　　　　　　　　,ﾓﾄﾄﾞﾏﾘ         ,MOTODOMARI                    ,　　　　　　　　　　,               ,                              ,45.242,141.187,0030,010.0,     ,      ,      ,       ,    ,2003-01-01,9999-99-99
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.248,141.852,0023,010.0,     ,      ,45.248,141.852,0023,1977-10-20,9999-99-99
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,009.9,     ,      ,      ,       ,    ,1974-11-01,9999-99-99
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.780,0014,010.0,     ,      ,45.102,141.780,0014,1975-05-29,9999-99-99
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.125,142.350,0018,010.0,     ,      ,      ,       ,    ,1974-11-01,9999-99-99
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,44.965,142.280,0025,010.2,     ,      ,44.965,142.280,0025,1975-05-28,9999-99-99
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,44.940,142.585,0007,017.2,     ,      ,44.940,142.585,0007,1974-11-01,9999-99-99
11316,歌登　　　　　　　　,ｳﾀﾉﾎﾞﾘ         ,UTANOBORI                     ,歌登　　　　　　　　,ｳﾀﾉﾎﾞﾘ         ,UTANOBORI                     ,44.842,142.480,0014,010.0,     ,      ,44.842,142.480,0014,1974-11-01,9999-99-99
12011,中川　　　　　　　　,ﾅｶｶﾞﾜ          ,NAKAGAWA                      ,　　　　　　　　　　,               ,                              ,44.828,142.077,0022,010.0,     ,      ,      ,       ,    ,1977-10-19,9999-99-99
12041,音威子府　　　　　　,ｵﾄｲﾈｯﾌﾟ        ,OTOINEPPU                     ,音威子府　　　　　　,ｵﾄｲﾈｯﾌﾟ        ,OTOINEPPU                     ,44.727,142.265,0040,009.9,     ,      ,44.727,142.265,0040,1977-10-17,9999-99-99
12066,小車　　　　　　　　,ｵｸﾞﾙﾏ          ,OGURUMA                       ,　　　　　　　　　　,               ,                              ,44.608,142.295,0060,     ,     ,      ,      ,       ,    ,2005-11-09,9999-99-99
12141,美深　　　　　　　　,ﾋﾞﾌｶ           ,BIFUKA                        ,美深　　　　　　　　,ﾋﾞﾌｶ           ,BIFUKA                        ,44.480,142.342,0077,010.0,     ,      ,44.480,142.342,0077,1974-11-01,9999-99-99
12181,名寄　　　　　　　　,ﾅﾖﾛ            ,NAYORO                        ,名寄　　　　　　　　,ﾅﾖﾛ            ,NAYORO                        ,44.370,142.457,0089,009.9,     ,      ,44.370,142.457,0089,1974-11-01,9999-99-99
12217,西風連　　　　　　　,ﾆｼﾌｳﾚﾝ         ,NISHIFUREN                    ,　　　　　　　　　　,               ,                              ,44.295,142.358,0128,     ,     ,      ,      ,       ,    ,2005-11-08,9999-99-99
