Station Number,Station Name,Station Name,Station Name,Station Name of Snow,Station Name of Snow,Station Name of Snow,Latitude_Precipitation,Longitude_Precipitation,Altitude_Precipitation,Height of Anemometer,,,Latitude_Snow,Longitude_Snow,Altitude_Snow,Precipitation,Wind Speed,Temperature,Sunshine Duration,Depth of Snow Cover,,Humidity,Start Date,End Date,Old Station Number,Disconnection of Precipitation,Disconnection of Wind Speed,Disconnection of Temperature,Disconnection of Sunshine Duration,Disconnection of Depth of Snow Cover,,Disconnection of Humidity
,(Kanji),(Kana),,(Kanji),(Kana),,(degree),(degree),(m),(m),,,(degree),(degree),(m),,,,,,,,,,,,,,,,,
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1978-10-30,1987-05-13,11001, 1, 1, 1, 1, 1,  , 1
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1987-05-14,2006-10-05,11001, 0, 0, 0, 1, 0,  , 0
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2006-10-06,2008-09-08,11001, 0, 0, 0, 4, 0,  , 0
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2008-09-09,2009-10-27,11001, 0, 4, 4, 0, 0,  , 0
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,010.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2009-10-28,2021-03-01,11001, 0, 0, 0, 0, 0,  , 0
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,010.0,     ,      ,      ,       ,    ,1,1,1,2,0, ,0,2021-03-02,2021-03-17,11001, 0, 0, 0, 6, 0,  , 0
11001,宗谷岬　　　　　　　,ｿｳﾔﾐｻｷ         ,SOYAMISAKI                    ,　　　　　　　　　　,               ,                              ,45.520,141.935,0026,010.1,     ,      ,      ,       ,    ,1,1,1,2,0, ,1,2021-03-18,9999-99-99,11001, 0, 0, 0, 0, 0,  , 0
11011,船泊　　　　　　　　,ﾌﾅﾄﾞﾏﾘ         ,FUNADOMARI                    ,　　　　　　　　　　,               ,                              ,45.437,141.035,0008,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1977-10-21,1986-11-04,11011, 1, 1, 1, 1, 1,  , 1
11011,船泊　　　　　　　　,ﾌﾅﾄﾞﾏﾘ         ,FUNADOMARI                    ,　　　　　　　　　　,               ,                              ,45.437,141.035,0008,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1986-11-05,2003-10-16,11011, 0, 0, 0, 1, 0,  , 0
11012,幌泊　　　　　　　　,ﾎﾛﾄﾞﾏﾘ         ,HORODOMARI                    ,　　　　　　　　　　,               ,                              ,45.455,141.038,0027,007.3,     ,      ,      ,       ,    ,1,1,1,0,0, ,0,2003-01-01,2009-01-28,11012, 1, 1, 1, 1, 1,  , 1
11012,幌泊　　　　　　　　,ﾎﾛﾄﾞﾏﾘ         ,HORODOMARI                    ,　　　　　　　　　　,               ,                              ,45.455,141.038,0027,007.3,     ,      ,      ,       ,    ,1,1,1,0,0, ,0,2009-01-29,2009-04-08,11012, 0, 4, 4, 0, 0,  , 0
11013,礼文上泊埼　　　　　,ﾚﾌﾞﾝｳｴﾄﾞﾏﾘｻｷ   ,REBUN-UEDOMARISAKI            ,　　　　　　　　　　,               ,                              ,45.423,141.065,0013,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,2014-09-04,2014-10-21,11013, 1, 1, 1, 1, 1,  , 1
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,　　　　　　　　　　,               ,                              ,45.415,141.678,0003,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,1974-11-01,1975-03-31,11016, 1, 1, 1, 1, 1,  , 1
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,　　　　　　　　　　,               ,                              ,45.415,141.678,0003,023.4,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1975-04-01,1985-12-31,11016, 0, 0, 0, 0, 0,  , 0
